Comment ID,Channel ID,Comment Create Timestamp,Price,Video ID,Comment Text
UgwFPFEl7ZXZh-2OrsN4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2010-05-10T21:09:57+00:00,0,mSJvKUzyLvU,"{""text"":""whats the song called?""}"
UgzzLKcrdTPyT-97l0V4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2010-05-03T03:52:58+00:00,0,6xDEmJH19Es,"{""text"":""He only speaks this much french because he is Canadian. And you don't need an accent to speak french. In my grade 8 french class I once had to right a whole book in french... My grade 8 french teacher was an ass.""}"
UgxEwmR-gY7WJKPlj114AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2010-04-25T21:32:12+00:00,0,xObVf24QeLQ,"{""text"":""Spooge balls bloody vaginal belch.""}"
UgxKwjng7PGrUmu38QZ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2010-04-25T21:21:22+00:00,0,2qXzcqZZi98,"{""text"":""His head sounds hollow...""}"
UgyFsZzaGTpZRCM38fh4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2010-04-21T04:20:21+00:00,0,kLPAdqPMCQ0,"{""text"":""if seen 15 year old kids freak out worse than this... that kid is tough.""}"
UgzUE-e3DRpNUqpV3nV4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2010-04-20T21:38:45+00:00,0,fk_TaP-TQDw,"{""text"":""Things you don't wanna know....""}"
Ugy9gYYHA03__VTRcn94AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2010-04-18T06:31:02+00:00,0,A9JTEuNAmLw,"{""text"":""This review is biased because he is a Final Fantasy fan... I never played a final fantasy game before I played this and I think it sucked.""}"
UgwY3gHjQJzRrWvgKnZ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2010-04-17T02:40:03+00:00,0,FAYWPV3F41Y,"{""text"":""Put the transcribed audio on... Cardinals Iraq LMFAO!!!""}"
UgxeqrNYbUmFgnkpAVh4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2010-04-15T22:58:49+00:00,0,C3UF39q4UKY,"{""text"":""I have a feeling that from 0:47 to 0:54 there was something that rubbed YouTube the wrong way.""}"
UgzAkhPyCTlb_LsyA4R4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2010-04-15T22:53:46+00:00,0,ger7Cdd85e0,"{""text"":""When did we go back to 2007 quality? Srsly.""}"
UgzXIHFmvzR2yjtaVqp4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2010-04-15T20:51:48+00:00,0,fK6NbGhMw4w,"{""text"":""Dude, I'm not for making fun of anybody because of the way they look but c'mon... Your talking about South Park as if they're Neo-Nazi slave trading Satan worshipers. If you're so tough just beat the shit out of these people who are making fun of you.""}"
UgwpIiBo2OHP8tPJXYp4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2010-04-08T22:31:44+00:00,0,mF5mQC3uvQE,"{""text"":""That's hilarious 'cuz 15 years ago, not many cars had airbags.""}"
UgwIAFratp3iI7HbNux4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2010-04-06T01:26:20+00:00,0,lnOLOxEcq4M,"{""text"":""It's a time capsule!!!""}"
Ugzw2Kub7asCEuJebEB4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2010-04-02T06:07:28+00:00,0,oavMtUWDBTM,"{""text"":""I love this song... Rick Roll is gay but this is epic.""}"
UgzuEQ82_jIL2LHZBh14AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2010-04-01T22:41:16+00:00,0,-14zMikeSWM,"{""text"":""My wish is to go back to 5 stars!!! Screw the thumbs up... My thumb hurts.""}"
