Comment ID,Channel ID,Comment Create Timestamp,Price,Video ID,Comment Text
Ugw6iviBrBhXTteSQC54AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2012-07-26T06:52:43+00:00,0,4hJTisovvjc,"{""text"":""May I just remind everyone that unless you speak Osama Bin Laden's language you don't know for sure what he's saying, or in what context the translator put it in to. Things aren't always what they seem.""}"
UgwfDrBCvgiWgIhgaVx4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2012-07-25T18:36:43+00:00,0,AclA-7YntvE,"{""text"":""Remember when this channel actually hacked household items? These are cool anyway.""}"
UgzOgwA-GoYmAYX-xql4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2012-07-25T16:58:28+00:00,0,gVEDnyDMHHQ,"{""text"":""He said \""Think about it from a primitive view.\""""}"
UgyLOXSgumvmCWd25Ll4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2012-07-24T23:28:23+00:00,0,r2Pb7cn4oE0,"{""text"":""Hell no, they're profiting off of the death of 12 people. Fuck 'em.""}"
UgxGJqWiNAxAhpgF-cl4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2012-07-23T00:59:10+00:00,0,Ag_cG4P-z0I,"{""text"":""brown bic lighter? what is this sorcery.\n\nwhere i live these dont exist""}"
UgwSYEj0yM6YLdnx9vR4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2012-07-22T04:07:54+00:00,0,JpCh4Rj3nmk,"{""text"":""3:32 lol at the bee flying by the microphone""}"
Ugy-BxUHwow2B6aYPR54AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2012-07-20T06:27:10+00:00,0,o1ZHdBbTuCA,"{""text"":""OMG I love these vlog type videos. Please do more of this.""}"
UgxItqecg4dV9mWNACR4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2012-07-19T05:14:04+00:00,0,3gNlmZBKRcw,"{""text"":""Am I the only one that realizes the people in this video are acting? Sad.""}"
UgyAvs2eGwTqoBnTRfl4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2012-07-19T04:35:14+00:00,0,jwG90ZBpvb0,"{""text"":""Finally the intro is back! sorta""}"
UgyoYC59YNXx8spvcgl4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2012-07-18T23:05:40+00:00,0,m4W7Fe2yDPA,"{""text"":""Cool""}"
UgxAMJUCKb5fw16Tefl4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2012-07-18T06:57:38+00:00,0,ZstObB4RVsQ,"{""text"":""WTF??? Eyore randomly kicks him in the balls. LOL""}"
Ugym5_aadIwCAF2Ncqh4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2012-07-17T01:00:59+00:00,0,z5GQ7buniEo,"{""text"":""PHIL!!! WTF?\n\nWas the story about 50+ bombs found in a guys house after he confessed to a 30+ year old murder not news enough for you? Or did you just not hear about it. Either way I think you should mention it. It happened in Barrie Ontario Canada.""}"
UgyTREoipIzIl5-A7qN4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2012-07-16T20:43:30+00:00,0,1a2Pl0JHqms,"{""text"":""Micheal Cera's reaction to the guy asking how they felt about \""peaking\"" was priceless.""}"
